source,target,weight,type
China,Oceania,1,Undirected
Oceania,security,1,Undirected
Oceania,military,1,Undirected
China,security,2,Undirected
China,military,1,Undirected
military,security,1,Undirected
EU,Yashina,2,Undirected
Yashina,civilian purposes,1,Undirected
EU,civilian purposes,1,Undirected
Russia,Zakharov,1,Undirected
India,Zakharov,3,Undirected
Zakharov,cooperation,2,Undirected
Zakharov,energy,1,Undirected
India,Russia,1,Undirected
Russia,cooperation,3,Undirected
Russia,energy,7,Undirected
India,cooperation,2,Undirected
India,energy,1,Undirected
cooperation,energy,2,Undirected
US,Zakharov,1,Undirected
Zakharov,technology,1,Undirected
Zakharov,civilian purposes,1,Undirected
India,US,1,Undirected
India,technology,1,Undirected
India,civilian purposes,1,Undirected
US,cooperation,3,Undirected
US,technology,1,Undirected
US,civilian purposes,1,Undirected
cooperation,technology,1,Undirected
civilian purposes,cooperation,1,Undirected
civilian purposes,technology,1,Undirected
Glaser,Oceania,1,Undirected
Glaser,cooperation,1,Undirected
Glaser,climate,1,Undirected
Glaser,policy,2,Undirected
Oceania,cooperation,1,Undirected
Oceania,climate,1,Undirected
Oceania,policy,1,Undirected
climate,cooperation,1,Undirected
cooperation,policy,1,Undirected
climate,policy,3,Undirected
nuclear,security,1,Undirected
nuclear,technology,1,Undirected
security,technology,1,Undirected
Italy,Yashina,3,Undirected
Yashina,policy,1,Undirected
Yashina,military,1,Undirected
Yashina,technology,1,Undirected
EU,Italy,2,Undirected
Italy,policy,3,Undirected
Italy,military,1,Undirected
Italy,technology,1,Undirected
EU,policy,11,Undirected
EU,military,1,Undirected
EU,technology,1,Undirected
military,policy,2,Undirected
policy,technology,2,Undirected
military,technology,1,Undirected
Kosevich,Spain,1,Undirected
Kosevich,Latin America,2,Undirected
Kosevich,strategy,1,Undirected
Kosevich,interaction,2,Undirected
Latin America,Spain,1,Undirected
Spain,strategy,1,Undirected
Spain,interaction,1,Undirected
Latin America,strategy,1,Undirected
Latin America,interaction,3,Undirected
interaction,strategy,1,Undirected
Russia,UN,1,Undirected
Biden,US,2,Undirected
US,military,2,Undirected
US,policy,13,Undirected
Biden,military,1,Undirected
Biden,policy,2,Undirected
EU,France,4,Undirected
France,nuclear,1,Undirected
France,energy,4,Undirected
France,development,1,Undirected
France,policy,5,Undirected
EU,nuclear,1,Undirected
EU,energy,6,Undirected
EU,development,1,Undirected
energy,nuclear,1,Undirected
development,nuclear,1,Undirected
nuclear,policy,2,Undirected
development,energy,1,Undirected
energy,policy,8,Undirected
development,policy,1,Undirected
Spain,UK,1,Undirected
Catalan separatist movement,UK,1,Undirected
UK,media,1,Undirected
UK,image,1,Undirected
Catalan separatist movement,Spain,2,Undirected
Spain,media,1,Undirected
Spain,image,1,Undirected
Catalan separatist movement,media,1,Undirected
Catalan separatist movement,image,1,Undirected
image,media,2,Undirected
Batyuk,Japan,1,Undirected
Batyuk,US,3,Undirected
Batyuk,policy,1,Undirected
Batyuk,security,2,Undirected
Japan,US,1,Undirected
Japan,policy,5,Undirected
Japan,security,2,Undirected
US,security,2,Undirected
policy,security,1,Undirected
Mexico,US,4,Undirected
Mexico,influence,1,Undirected
Mexico,policy,4,Undirected
US,influence,1,Undirected
influence,policy,2,Undirected
Batyuk,Mexico,1,Undirected
Batyuk,border,1,Undirected
Batyuk,migration,1,Undirected
Batyuk,interaction,1,Undirected
US,border,2,Undirected
US,migration,1,Undirected
US,interaction,4,Undirected
Mexico,border,2,Undirected
Mexico,migration,1,Undirected
Mexico,interaction,1,Undirected
border,migration,1,Undirected
border,interaction,1,Undirected
interaction,migration,1,Undirected
EU,climate,2,Undirected
Japan,Puzyanova,3,Undirected
ASEAN,Puzyanova,1,Undirected
Puzyanova,security,1,Undirected
ASEAN,Japan,1,Undirected
ASEAN,security,1,Undirected
France,Zinovieva,1,Undirected
EU,Zinovieva,1,Undirected
Zinovieva,digital,1,Undirected
Zinovieva,diplomacy,1,Undirected
France,digital,1,Undirected
France,diplomacy,4,Undirected
EU,digital,1,Undirected
EU,diplomacy,2,Undirected
digital,diplomacy,1,Undirected
US,foreign,2,Undirected
US,discourse,1,Undirected
Mexico,foreign,1,Undirected
Mexico,discourse,1,Undirected
foreign,policy,9,Undirected
discourse,foreign,3,Undirected
border,foreign,1,Undirected
discourse,policy,4,Undirected
border,policy,2,Undirected
policy,policy,1,Undirected
border,discourse,1,Undirected
Moldova,foreign,1,Undirected
Moldova,policy,1,Undirected
Moldova,discourse,1,Undirected
Bass,Germany,4,Undirected
Bass,China,1,Undirected
Bass,policy,4,Undirected
Bass,economy,1,Undirected
Bass,political,1,Undirected
Bass,interaction,2,Undirected
China,Germany,1,Undirected
Germany,policy,8,Undirected
Germany,economy,1,Undirected
Germany,political,1,Undirected
Germany,interaction,2,Undirected
China,policy,4,Undirected
China,economy,2,Undirected
China,political,2,Undirected
China,interaction,4,Undirected
economy,policy,2,Undirected
policy,political,2,Undirected
interaction,policy,3,Undirected
economy,political,1,Undirected
economy,interaction,1,Undirected
interaction,political,1,Undirected
Batyuk,Latin America,1,Undirected
Batyuk,cooperation,1,Undirected
Latin America,US,3,Undirected
Latin America,cooperation,1,Undirected
Latin America,security,2,Undirected
cooperation,security,1,Undirected
US,Zinovieva,1,Undirected
Russia,Zinovieva,1,Undirected
Ukraine,Zinovieva,1,Undirected
Zinovieva,confrontation,1,Undirected
Zinovieva,information,1,Undirected
Ukrainian crisis,Zinovieva,1,Undirected
Zinovieva,crisis,1,Undirected
Russia,US,5,Undirected
US,Ukraine,1,Undirected
US,confrontation,1,Undirected
US,information,1,Undirected
US,Ukrainian crisis,1,Undirected
US,crisis,1,Undirected
Russia,Ukraine,3,Undirected
Russia,confrontation,2,Undirected
Russia,information,2,Undirected
Russia,Ukrainian crisis,3,Undirected
Russia,crisis,3,Undirected
